<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,20210617,223900,1.1903900,1.1904400,1.1903000,1.1903300,532
EURUSD,1,20210617,224000,1.1903900,1.1904500,1.1901000,1.1901800,1143
EURUSD,1,20210617,224100,1.1902500,1.1903700,1.1900000,1.1902400,925
EURUSD,1,20210617,224200,1.1903200,1.1904000,1.1901000,1.1902100,1035
EURUSD,1,20210617,224300,1.1902200,1.1902700,1.1899000,1.1901500,1045
EURUSD,1,20210617,224400,1.1901500,1.1903300,1.1899000,1.1901800,1085
EURUSD,1,20210617,224500,1.1902400,1.1904100,1.1900000,1.1903800,756
EURUSD,1,20210617,224600,1.1903900,1.1904100,1.1901000,1.1903800,657
EURUSD,1,20210617,224700,1.1903800,1.1904800,1.1902000,1.1903900,859
EURUSD,1,20210617,224800,1.1903800,1.1907000,1.1903000,1.1906100,820
EURUSD,1,20210617,224900,1.1906800,1.1907500,1.1904000,1.1905000,691
EURUSD,1,20210617,225000,1.1905000,1.1906900,1.1904000,1.1906600,860
EURUSD,1,20210617,225100,1.1905000,1.1907200,1.1904000,1.1905100,1069
EURUSD,1,20210617,225200,1.1906000,1.1906500,1.1904000,1.1904900,1261
EURUSD,1,20210617,225300,1.1905600,1.1905900,1.1902000,1.1904700,1058
EURUSD,1,20210617,225400,1.1904000,1.1905400,1.1901000,1.1902700,1116
EURUSD,1,20210617,225500,1.1903500,1.1904600,1.1900000,1.1902000,1173
EURUSD,1,20210617,225600,1.1902200,1.1902300,1.1899000,1.1900600,1466
EURUSD,1,20210617,225700,1.1900600,1.1902500,1.1899000,1.1901800,1336
EURUSD,1,20210617,225800,1.1901900,1.1903100,1.1900000,1.1902000,1209
EURUSD,1,20210617,225900,1.1902100,1.1902700,1.1899000,1.1902100,1092
EURUSD,1,20210617,230000,1.1902100,1.1903000,1.1900000,1.1902300,969
EURUSD,1,20210617,230100,1.1902200,1.1903000,1.1900000,1.1902600,1357
EURUSD,1,20210617,230200,1.1902700,1.1903000,1.1901000,1.1902700,640
EURUSD,1,20210617,230300,1.1901900,1.1903300,1.1900000,1.1901000,950
EURUSD,1,20210617,230400,1.1902200,1.1902300,1.1900000,1.1901000,633
EURUSD,1,20210617,230500,1.1901900,1.1902200,1.1899000,1.1900900,717
EURUSD,1,20210617,230600,1.1900800,1.1901800,1.1899000,1.1901500,523
EURUSD,1,20210617,230700,1.1901600,1.1902500,1.1900000,1.1902400,511
EURUSD,1,20210617,230800,1.1902300,1.1902700,1.1900000,1.1901600,432
EURUSD,1,20210617,230900,1.1900000,1.1902000,1.1899000,1.1901000,425
